,DistrictId,Rooms_square,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B,Price
0,35,0.30681318,47.98156,0.61362636,6.0,7.0,9.0,53,0.08903972,33,7976,5,1106.1093,0,11,0,1,0,1,0,1,184966.94
1,41,0.20324463,65.68364,0.6097339,8.0,7.0,9.0,44,6.99893e-05,46,10309,1,240.0,1,16,0,1,0,1,0,1,300009.44
2,53,0.32479355,44.947952,0.6495871,5.8617096,8.0,12.0,54,0.049637258,34,7759,0,229.0,1,3,0,1,0,1,0,1,220925.9
3,58,0.49417585,53.35298,0.9883517,9.0,8.0,17.0,45,0.43788525,23,5735,3,1084.0,0,5,0,1,0,1,0,1,175616.23
4,99,0.5996634,39.649193,0.5996634,7.0,11.0,12.0,46,0.012338886,35,5776,1,2078.0,2,4,0,1,0,1,0,1,150226.53
5,59,0.19358514,80.384476,0.5807554,12.0,5.0,17.0,11,0.30947912,35,7715,4,990.0,0,6,0,1,0,1,0,1,215898.45
6,154,0.2984572,62.254112,0.5969144,7.0,3.0,5.0,62,0.4605564,20,4386,14,1106.1093,1,5,0,1,0,1,0,1,296021.22
7,74,0.5,80.31293,1.0,5.8617096,0.0,0.0,45,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,221244.16
8,1,0.5,64.51144,1.0,1.0,9.0,17.0,45,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,229102.8
9,23,0.40712392,46.46141,0.40712392,8.0,13.0,17.0,8,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,95380.22
10,28,0.30150786,46.304905,0.6030157,6.0,8.0,9.0,49,0.11853738,30,6207,1,1183.0,1,0,0,1,0,1,0,1,204243.55
11,31,0.221565,68.80886,0.66469496,7.0,1.0,8.0,63,0.0,23,3684,2,1106.1093,0,4,0,1,0,1,0,1,165534.55
12,13,0.29125202,54.522804,0.58250403,1.0,8.0,12.0,23,0.0907991,74,19083,2,1106.1093,5,15,0,1,0,1,0,1,229220.38
13,57,0.19241269,68.10274,0.5772381,8.0,6.0,12.0,42,0.13321534,49,11395,3,1406.0,3,4,0,1,0,1,1,0,252481.9
14,27,0.9746868,53.769096,0.9746868,1.0,4.0,4.0,45,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,140647.56
15,85,0.24403594,73.61223,0.7321078,6.0,4.0,9.0,43,0.03717782,52,11217,1,2300.0,1,7,0,1,0,1,0,1,89084.33
16,27,0.3240837,49.36065,0.6481674,5.0,5.0,5.0,39,0.051815435,5,1227,0,1106.1093,0,0,0,1,0,1,0,1,117000.38
17,34,0.27611268,57.969963,0.55222535,9.0,6.0,14.0,21,0.069753364,53,13670,4,1106.1093,1,11,0,1,0,1,0,1,231828.44
18,57,0.51924545,44.51348,0.51924545,8.0,6.0,12.0,39,0.13321534,49,11395,3,1406.0,3,4,0,1,0,1,1,0,183743.23
19,19,0.17122348,110.95979,0.51367044,11.0,16.0,25.0,10,0.000991363,33,6783,3,1106.1093,1,9,0,1,0,1,0,1,394895.3
20,0,0.15378696,103.60529,0.46136087,10.0,12.0,17.0,20,0.31980935,25,4756,16,2857.0,5,8,0,1,0,1,0,1,521919.06
21,27,0.5,64.71184,1.0,1.0,1.0,1.0,45,0.21140121,9,1892,0,1106.1093,0,1,0,1,0,1,0,1,127200.02
22,48,0.48496324,41.668648,0.48496324,10.0,19.0,22.0,26,0.041124634,46,9515,5,1106.1093,1,10,0,1,0,1,0,1,215083.97
23,54,0.33333334,118.90761,1.0,5.8617096,0.0,0.0,45,0.006076152,30,5285,0,645.0,6,6,0,1,0,1,0,1,571069.06
24,150,0.236782,62.180534,0.710346,5.0,4.0,5.0,58,0.020741327,24,5613,5,1340.0,2,5,0,1,0,1,0,1,241718.1
25,74,0.5,82.667915,1.0,1.0,16.0,17.0,45,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,244145.83
26,27,0.0020002148,106.95887,0.006000644,5.8617096,0.0,0.0,4,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,337299.88
27,23,0.5,64.556206,1.0,1.0,8.0,17.0,45,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,173910.92
